Index,Erlang value,Blocking Prob.
0,1.0,0.5004226639001794
1,0.25,0.19627925511835834
2,0.0625,0.05311251648291372
3,0.015625,0.012311031703474012
4,0.00390625,0.0005916370229950579
5,0.0009765625,0.0
6,10.0,0.9036587483843718
7,2.5,0.6982298855900154
8,0.625,0.3535616574154207
9,0.15625,0.09676589872952665
10,0.0390625,0.007764972882251168
11,0.009765625,0.0
12,100.0,0.9844648987730211
13,25.0,0.939120977065824
14,6.25,0.7843862105580373
15,1.5625,0.4142170689683134
16,0.390625,0.04989975283500959
17,0.09765625,3.321783982183746e-05
18,1000.0,0.9902045405357102
19,250.0,0.9608201650121192
20,62.5,0.8519350468548537
21,15.625,0.5269506115981666
22,3.90625,0.07777181782287276
23,0.9765625,5.1002430156311365e-05
24,1.0,0.5004226639001794
25,0.25,0.19627925511835834
26,0.0625,0.05311251648291372
27,0.015625,0.012311031703474012
28,0.00390625,0.0005916370229950579
29,0.0009765625,0.0
30,10.0,0.9036587483843718
31,2.5,0.6982298855900154
32,0.625,0.3535616574154207
33,0.15625,0.09676589872952665
34,0.0390625,0.007764972882251168
35,0.009765625,0.0
36,100.0,0.9844648987730211
37,25.0,0.939120977065824
38,6.25,0.7843862105580373
39,1.5625,0.4142170689683134
40,0.390625,0.04989975283500959
41,0.09765625,3.321783982183746e-05
42,1000.0,0.9902045405357102
43,250.0,0.9608201650121192
44,62.5,0.8519350468548537
45,15.625,0.5269506115981666
46,3.90625,0.07777181782287276
47,0.9765625,5.1002430156311365e-05
48,1.0,0.5004226639001794
49,0.25,0.19627925511835834
50,0.0625,0.05311251648291372
51,0.015625,0.012311031703474012
52,0.00390625,0.0005916370229950579
53,0.0009765625,0.0
54,10.0,0.9036587483843718
55,2.5,0.6982298855900154
56,0.625,0.3535616574154207
57,0.15625,0.09676589872952665
58,0.0390625,0.007764972882251168
59,0.009765625,0.0
60,100.0,0.9844648987730211
61,25.0,0.939120977065824
62,6.25,0.7843862105580373
63,1.5625,0.4142170689683134
64,0.390625,0.04989975283500959
65,0.09765625,3.321783982183746e-05
66,1000.0,0.9902045405357102
67,250.0,0.9608201650121192
68,62.5,0.8519350468548537
69,15.625,0.5269506115981666
70,3.90625,0.07777181782287276
71,0.9765625,5.1002430156311365e-05
72,1.0,0.5004226639001794
73,0.25,0.19627925511835834
74,0.0625,0.05311251648291372
75,0.015625,0.012311031703474012
76,0.00390625,0.0005916370229950579
77,0.0009765625,0.0
78,10.0,0.9036587483843718
79,2.5,0.6982298855900154
80,0.625,0.3535616574154207
81,0.15625,0.09676589872952665
82,0.0390625,0.007764972882251168
83,0.009765625,0.0
84,100.0,0.9844648987730211
85,25.0,0.939120977065824
86,6.25,0.7843862105580373
87,1.5625,0.4142170689683134
88,0.390625,0.04989975283500959
89,0.09765625,3.321783982183746e-05
90,1000.0,0.9902045405357102
91,250.0,0.9608201650121192
92,62.5,0.8519350468548537
93,15.625,0.5269506115981666
94,3.90625,0.07777181782287276
95,0.9765625,5.1002430156311365e-05
96,1.0,0.5004226639001794
97,0.25,0.19627925511835834
98,0.0625,0.05311251648291372
99,0.015625,0.012311031703474012
100,0.00390625,0.0005916370229950579
101,0.0009765625,0.0
102,10.0,0.9036587483843718
103,2.5,0.6982298855900154
104,0.625,0.3535616574154207
105,0.15625,0.09676589872952665
106,0.0390625,0.007764972882251168
107,0.009765625,0.0
108,100.0,0.9844648987730211
109,25.0,0.939120977065824
110,6.25,0.7843862105580373
111,1.5625,0.4142170689683134
112,0.390625,0.04989975283500959
113,0.09765625,3.321783982183746e-05
114,1000.0,0.9902045405357102
115,250.0,0.9608201650121192
116,62.5,0.8519350468548537
117,15.625,0.5269506115981666
118,3.90625,0.07777181782287276
119,0.9765625,5.1002430156311365e-05
120,1.0,0.5004226639001794
121,0.25,0.19627925511835834
122,0.0625,0.05311251648291372
123,0.015625,0.012311031703474012
124,0.00390625,0.0005916370229950579
125,0.0009765625,0.0
126,10.0,0.9036587483843718
127,2.5,0.6982298855900154
128,0.625,0.3535616574154207
129,0.15625,0.09676589872952665
130,0.0390625,0.007764972882251168
131,0.009765625,0.0
132,100.0,0.9844648987730211
133,25.0,0.939120977065824
134,6.25,0.7843862105580373
135,1.5625,0.4142170689683134
136,0.390625,0.04989975283500959
137,0.09765625,3.321783982183746e-05
138,1000.0,0.9902045405357102
139,250.0,0.9608201650121192
140,62.5,0.8519350468548537
141,15.625,0.5269506115981666
142,3.90625,0.07777181782287276
143,0.9765625,5.1002430156311365e-05
