,Erlang value,Blocking Prob.
0,1.0,0.4857012190367394
1,0.25,0.1898550307960491
2,0.0625,0.05461070286783819
3,0.015625,0.010884083199483696
4,0.00390625,0.0010259549094434686
5,0.0009765625,0.0
6,10.0,0.9056037197247514
7,2.5,0.6972843201505112
8,0.625,0.3535140106365099
9,0.15625,0.09588125192735267
10,0.0390625,0.0074067601350085235
11,0.009765625,0.0
12,100.0,0.9844383254205253
13,25.0,0.9397469519777291
14,6.25,0.7845790874676913
15,1.5625,0.41509447888894274
16,0.390625,0.04987431115479009
17,0.09765625,2.2147227556151175e-05
18,1000.0,0.9900485443162961
19,250.0,0.9607874311306448
20,62.5,0.8518083253763912
21,15.625,0.5267867681833089
22,3.90625,0.07731432438842392
23,0.9765625,3.40016800944056e-05
