,Erlang value,Blocking Prob.
0,1.0,0.0
1,0.25,0.0
2,0.0625,0.0
3,0.015625,0.0
4,0.00390625,0.0
5,0.0009765625,0.0
6,10.0,0.46902978309765536
7,2.5,0.0009750586188342619
8,0.625,0.0
9,0.15625,0.0
10,0.0390625,0.0
11,0.009765625,0.0
12,100.0,0.9216643948377812
13,25.0,0.6906371929688591
14,6.25,0.028953836828193934
15,1.5625,0.0
16,0.390625,0.0
17,0.09765625,0.0
18,1000.0,0.9499959983517966
19,250.0,0.8035445878640539
20,62.5,0.26354208362249787
21,15.625,0.0
22,3.90625,0.0
23,0.9765625,0.0
