,Erlang value,Blocking Prob.
0,1.0,0.0025168231389988784
1,0.25,0.0
2,0.0625,0.0
3,0.015625,0.0
4,0.00390625,0.0
5,0.0009765625,0.0
6,10.0,0.5424931843387235
7,2.5,0.05446809444117595
8,0.625,0.00010411312665369475
9,0.15625,0.0
10,0.0390625,0.0
11,0.009765625,0.0
12,100.0,0.922106629792206
13,25.0,0.7001413020796157
14,6.25,0.13967485765671636
15,1.5625,1.4265517820975294e-05
16,0.390625,0.0
17,0.09765625,0.0
18,1000.0,0.9499096459264553
19,250.0,0.8044194131420366
20,62.5,0.3164781271974754
21,15.625,0.000190007050292313
22,3.90625,0.0
23,0.9765625,0.0
